state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Virginia,Charlottesville,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,46-55,Single,Bachelor Degree,1-3 months,3-4,Yes,7.0,2.0,5.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Virginia,Hampton,Black/African Descent,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Single,Bachelor Degree,Less than a month,3-4,Yes,6.0,5.0,7.0,Weekly Allowance,$600-$699,,sugar_baby,3.5,2600.0,742.8571428571429
Virginia,Richmond,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,46-55,Divorced,Bachelor Degree,7-9 months,3-4,Yes,4.0,2.0,3.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Virginia,Arlington,White / Caucasian,36-45,Single,Doctorate,East Indian,46-55,Married,Bachelor Degree,More than 1 year,7-8,Yes,10.0,8.0,6.0,Monthly Allowance,,$10k or more,sugar_baby,7.5,10000.0,1333.3333333333333
Virginia,McLean,Middle Eastern,26-35,Single,Some College,White / Caucasian,46-55,Married,Masters,Less than a month,1-2,No,8.0,8.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Virginia,rva,White / Caucasian,36-45,Single,Bachelor Degree,,56-65,Separated,Masters,4-6 months,5-6,Yes,5.0,5.0,5.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,5.5,1925.0,350.0
Washington D.C.,Washington DC,White / Caucasian,46-55,Married,Bachelor Degree,White / Caucasian,46-55,Separated,Masters,1-3 months,3-4,Yes,6.0,5.0,6.0,Pay Per Meet (PPM),$1k or more,,sugar_baby,3.5,3500.0,1000.0
Washington D.C.,Washington DC,Latin / Hispanic,26-35,Single,Some College,White / Caucasian,46-55,Divorced,Masters,1-3 months,1-2,Yes,4.0,4.0,5.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,1.5,675.0,450.0
Washington D.C.,DC,Black/African Descent,26-35,Single,Masters,White / Caucasian,46-55,Separated,Doctorate,4-6 months,3-4,Yes,8.0,8.0,9.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,3.5,3500.0,1000.0
Washington D.C.,"Washington, D.C.",Black/African Descent,18-25,Single,Some College,Asian,46-55,Married,Bachelor Degree,1-3 months,1-2,Yes,10.0,9.0,9.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,1.5,975.0,650.0
Washington D.C.,Washington D.C.,White / Caucasian,26-35,Single,Masters,White / Caucasian,46-55,Single,Masters,Less than a month,3-4,Yes,7.0,9.0,5.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Washington D.C.,Dc,White / Caucasian,18-25,Single,Some College,White / Caucasian,56-65,Single,Less than High School,Less than a month,3-4,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
Washington D.C.,Dc,Asian,26-35,Single,Masters,,26-35,Single,Masters,Less than a month,1-2,No,1.0,1.0,1.0,Weekly Allowance,$500-$599,,sugar_baby,1.5,2200.0,1466.6666666666667
Washington D.C.,Dc,Latin / Hispanic,18-25,Single,Bachelor Degree,White / Caucasian,56-65,Single,Bachelor Degree,1-3 months,7-8,No,10.0,6.0,10.0,Pay Per Meet (PPM),$400-$499,,sugar_baby,7.5,3375.0,450.0
West Virginia,Charleston,White / Caucasian,26-35,Single,Some College,White / Caucasian,56-65,Widow,Bachelor Degree,4-6 months,3-4,Yes,7.0,7.0,7.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
