state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Florida,Pensacola,White / Caucasian,46-55,Divorced,Masters,White / Caucasian,56-65,Married,High School Diploma,1-3 months,1-2,Yes,6.0,7.0,7.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
Florida,Tampa,White / Caucasian,36-45,Divorced,Masters,Latin / Hispanic,36-45,Single,Bachelor Degree,7-9 months,5-6,Yes,8.0,9.0,9.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,5.5,3500.0,636.3636363636364
Florida,tampa,Asian,26-35,Divorced,Bachelor Degree,Black/African Descent,36-45,Divorced,Some College,Less than a month,3-4,No,7.0,5.0,6.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Florida,Tampa,Latin / Hispanic,26-35,Single,Bachelor Degree,East Indian,36-45,Divorced,Doctorate,Less than a month,3-4,No,5.0,5.0,5.0,Pay Per Meet (PPM),< $300,,sugar_baby,3.5,525.0,150.0
Florida,Orlando,White / Caucasian,26-35,Single,Associate Degree,Asian,46-55,Divorced,Doctorate,1-3 months,3-4,Yes,10.0,10.0,8.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,3.5,5250.0,1500.0
Florida,St. Augustine,White / Caucasian,26-35,Married,Associate Degree,White / Caucasian,56-65,Married,Masters,1-3 months,3-4,No,5.0,6.0,5.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,3.5,2625.0,750.0
Florida,Tampa,Latin / Hispanic,36-45,Divorced,Less than High School,White / Caucasian,56-65,Married,Some College,4-6 months,5-6,Yes,5.0,5.0,6.0,Monthly Allowance,,"$6k-$6,999",sugar_baby,5.5,6500.0,1181.8181818181818
Florida,Orlando,Latin / Hispanic,26-35,Single,Some College,Black/African Descent,26-35,Single,Masters,Less than a month,1-2,No,8.0,9.0,9.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
Florida,Saint Petersburg,White / Caucasian,36-45,Divorced,Associate Degree,White / Caucasian,36-45,Divorced,Some College,4-6 months,3-4,Yes,8.0,9.0,9.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
Florida,Tampa,White / Caucasian,36-45,Married,Some College,White / Caucasian,66-75,Married,Associate Degree,1-3 months,3-4,Yes,2.0,2.0,2.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
Florida,Orlando,Haitian and Indian,36-45,Divorced,Bachelor Degree,Middle Eastern,56-65,Divorced,Doctorate,More than 1 year,10+,Yes,5.0,4.0,5.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,10.0,5500.0,550.0
Florida,Naples,White / Caucasian,26-35,Single,Associate Degree,White / Caucasian,66-75,Married,Bachelor Degree,4-6 months,5-6,Yes,7.0,7.0,4.0,Monthly Allowance,,$10k or more,sugar_baby,5.5,10000.0,1818.1818181818182
