state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
Nevada,Las vegas,White / Caucasian,36-45,Divorced,Bachelor Degree,White / Caucasian,36-45,Single,Doctorate,Less than a month,3-4,Yes,8.0,9.0,9.0,Weekly Allowance,$500-$599,,sugar_baby,3.5,2200.0,628.5714285714286
Nevada,Las Vegas,White / Caucasian,18-25,Single,High School Diploma,White / Caucasian,46-55,Single,Bachelor Degree,Less than a month,3-4,No,4.0,4.0,4.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
Nevada,Las Vegas,Black/African Descent,18-25,Single,High School Diploma,Black/African Descent,36-45,Single,Masters,More than 1 year,7-8,Yes,6.0,5.0,3.0,Monthly Allowance,,"$5k-$5,999",sugar_baby,7.5,5500.0,733.3333333333334
Nevada,las vegas,Asian,26-35,Divorced,Bachelor Degree,White / Caucasian,46-55,Married,Bachelor Degree,1-3 months,1-2,Yes,8.0,8.0,8.0,Pay Per Meet (PPM),$900-$999,,sugar_baby,1.5,1425.0,950.0
Nevada,Las Vegas,Black/African Descent,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Married,Masters,More than 1 year,7-8,No,5.0,3.0,3.0,Pay Per Meet (PPM),$800-$899,,sugar_baby,7.5,6375.0,850.0
Nevada,North Las Vegas,Mixed,46-55,Divorced,Associate Degree,Black/African Descent,26-35,Single,Bachelor Degree,7-9 months,10+,Yes,4.0,6.0,6.0,Monthly Allowance,,"$5k-$5,999",sugar_baby,10.0,5500.0,550.0
Utah,Salt Lake City,Latin / Hispanic,18-25,Single,Some College,,36-45,Open Relationship,Bachelor Degree,10-12 months,3-4,Yes,9.0,10.0,9.0,Weekly Allowance,$800-$899,,sugar_baby,3.5,3400.0,971.4285714285714
Utah,SLC,Asian,18-25,Single,Some College,White / Caucasian,56-65,Divorced,Doctorate,4-6 months,3-4,Yes,8.0,9.0,10.0,Monthly Allowance,,"$7k-$7,999",sugar_baby,3.5,7500.0,2142.8571428571427
Utah,Salt Lake,Latin / Hispanic,36-45,Married,Bachelor Degree,White / Caucasian,46-55,Divorced,Associate Degree,More than 1 year,3-4,No,1.0,4.0,9.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Utah,Provo,White / Caucasian,18-25,Single,Some College,White / Caucasian,46-55,Divorced,Bachelor Degree,1-3 months,3-4,No,9.0,9.0,9.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
Utah,Cedar city,White / Caucasian,36-45,Open Relationship,Some College,White / Caucasian,56-65,Married,Bachelor Degree,Less than a month,3-4,Yes,7.0,7.0,9.0,Pay Per Meet (PPM),$300-$399,,sugar_baby,3.5,1225.0,350.0
Utah,Salt Lake City,Asian,26-35,Single,Associate Degree,White / Caucasian,56-65,Single,Bachelor Degree,4-6 months,1-2,Yes,7.0,6.0,5.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,1.5,975.0,650.0
Utah,Salt lake city,Asian,26-35,Single,Associate Degree,White / Caucasian,46-55,Divorced,High School Diploma,4-6 months,1-2,No,3.0,1.0,1.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,1.5,1125.0,750.0
Utah,Salt Lake City,White / Caucasian,46-55,Single,Bachelor Degree,White / Caucasian,56-65,Single,Doctorate,More than 1 year,3-4,Yes,8.0,7.0,5.0,Pay Per Meet (PPM),$700-$799,,sugar_baby,3.5,2625.0,750.0
Wyoming,Casper,White / Caucasian,36-45,Single,Bachelor Degree,White / Caucasian,46-55,Married,Doctorate,1-3 months,5-6,No,8.0,6.0,3.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,5.5,2500.0,454.54545454545456
Wyoming,Casper,White / Caucasian,46-55,Married,Bachelor Degree,White / Caucasian,56-65,Married,Bachelor Degree,Less than a month,1-2,No,2.0,2.0,4.0,Monthly Allowance,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
Idaho,Boise,White / Caucasian,26-35,Single,Doctorate,,56-65,Single,Masters,4-6 months,3-4,No,7.0,7.0,7.0,Pay Per Meet (PPM),$600-$699,,sugar_baby,3.5,2275.0,650.0
Nevada,Las vegas,Mixed,26-35,Single,Some College,White / Caucasian,36-45,Married,Masters,More than 1 year,1-2,No,8.0,5.0,5.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
Colorado,Englewood,White / Caucasian,26-35,Single,Bachelor Degree,,46-55,Single,Bachelor Degree,Less than a month,3-4,No,7.0,5.0,4.0,Weekly Allowance,$500-$599,,sugar_baby,3.5,2200.0,628.5714285714286
Wyoming,Cheyenne,White / Caucasian,26-35,Separated,High School Diploma,Black/African Descent,46-55,Single,High School Diploma,Less than a month,1-2,No,4.0,1.0,4.0,Pay Per Meet (PPM),< $300,,sugar_baby,1.5,225.0,150.0
