state,city,sb_race,sb_age,sb_marital_status,sb_education,sd_race,sd_age,sd_marital_status,sd_education,time_together,num_monthly_dates,Gifts?,Happy?,Satisfied with give/receive?,Am I getting enough effort/support?,Allowance Type,PPM/Weekly allowance,Allowance Amount,sample,nmd,allowance_amount,per_meet_amount
California,Lake Forest,White / Caucasian,46-55,Married,Some College,White / Caucasian,46-55,Married,Some College,1-3 months,1-2,Yes,7.0,6.0,6.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,1.5,2500.0,1666.6666666666667
California,San Jose,White / Caucasian,26-35,Single,Bachelor Degree,White / Caucasian,66-75,Married,Bachelor Degree,10-12 months,1-2,Yes,10.0,10.0,10.0,Pay Per Meet (PPM),"$1k - $1,999",,sugar_baby,1.5,2250.0,1500.0
California,Los Angeles,Mixed,18-25,Single,Bachelor Degree,White / Caucasian,36-45,Open Relationship,Masters,Less than a month,1-2,No,2.0,1.0,2.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,1.5,1500.0,1000.0
California,San Diego,Asian,26-35,Separated,Some College,White / Caucasian,56-65,Married,Masters,1-3 months,3-4,Yes,8.0,10.0,10.0,Monthly Allowance,,"$2k-$2,999",sugar_baby,3.5,2500.0,714.2857142857143
California,Long Beach,White / Caucasian,26-35,Single,Some College,White / Caucasian,46-55,Single,Masters,1-3 months,1-2,No,5.0,1.0,1.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
California,San jose,Asian,26-35,Single,Bachelor Degree,Asian,26-35,Single,Bachelor Degree,1-3 months,5-6,Yes,10.0,8.0,7.0,Monthly Allowance,,"$3k-$3,999",sugar_baby,5.5,3500.0,636.3636363636364
California,San Francisco,White / Caucasian,36-45,Single,Some College,White / Caucasian,56-65,Single,Masters,1-3 months,10+,Yes,8.0,8.0,10.0,Weekly Allowance,"$1k - $1,999",,sugar_baby,10.0,6000.0,600.0
California,San Francisco,White / Caucasian,36-45,Single,Some College,White / Caucasian,56-65,Married,Bachelor Degree,1-3 months,3-4,"Yes, No",3.0,3.0,3.0,Gifts and Experiences,,"$1k- $1,999",sugar_baby,3.5,1500.0,428.57142857142856
California,Marin,White / Caucasian,36-45,Single,Some College,White / Caucasian,56-65,Single,Masters,Less than a month,3-4,No,6.0,6.0,7.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,3.5,1925.0,550.0
California,Diego,Asian,36-45,Single,Masters,White / Caucasian,56-65,Single,Bachelor Degree,4-6 months,1-2,No,10.0,10.0,8.0,Pay Per Meet (PPM),$500-$599,,sugar_baby,1.5,825.0,550.0
